Holding period,1 Month,3 Month,6 Month,1 Year,2 Years,3 Years,5 Years,7 Years,10 Years,20 Years,30 Years
Apr-53,,,,,,,,,,,
May-53,,,,0.000885688354487657,,-0.003758536142312141,-0.009204597465227615,,-0.016346110772105793,-0.012104342523300837,
Jun-53,,,,0.0023369678819358253,,0.0017096902128586056,-0.0007911272000085123,,-0.002544619683878091,-0.0017394037497115988,
Jul-53,,,,0.0026726780550583307,,0.005631886495479854,0.011132038973009184,,0.017985422719208666,0.015950721349108132,
Aug-53,,,,0.002885408549153645,,0.0033002630739216166,9.907313499368797e-06,,0.0007329240636031464,0.005555507533093085,
Sep-53,,,,0.002622064071422958,,0.002708651351996272,0.006450187925488127,,0.009320155943436381,0.0070286651453732585,
Oct-53,,,,0.0055445532590314706,,0.011402078990971232,0.01516076482934281,,0.020590872655946058,0.02053468863299779,
Nov-53,,,,0.0025787920277966503,,0.002701370001094494,0.002485922258675499,,0.00048511572299547723,0.002458333333333229,
Dec-53,,,,0.0014822668037344222,,0.005494459608746949,0.006638028410141494,,0.010059959891187464,0.01149584410906268,
Jan-54,,,,0.0036523164199984137,,0.006809587577256693,0.008892821396628392,,0.01177633291586444,0.016076694274873127,
Feb-54,,,,0.003630158941034578,,0.008951583189890311,0.007860616240674911,,0.0029414628544510713,0.014572548617733938,
Mar-54,,,,0.0010409382124791922,,0.0024939568687063485,0.006836071366395968,,0.01084972232411796,0.01926704153176595,
Apr-54,,,,0.002489467951362956,,0.0027457254693503685,0.004414277158218294,,0.00903608160659597,0.0037219168168414196,
May-54,,,,0.0018022951268554799,,0.0007152345877550204,-0.0007768620656053438,,-0.005124777859294438,-0.007063588096398066,
Jun-54,,,,0.0009817443684410065,,0.002152578918873216,0.0016000000000000458,,0.0010962967518739486,0.005299097288322896,
Jul-54,,,,0.0005010850087592278,,0.002981883044406386,0.004875334509724993,,0.009040909990140955,0.01305848890472805,
Aug-54,,,,0.00033560610695726467,,0.0006562307738970929,-0.0007947644614126892,,-0.0033607824789302354,0.0005918878144490769,
Sep-54,,,,-0.0006317005021089228,,-0.0018807722011439099,-0.0012159388445193153,,0.00020926017041444922,-0.000943833633682778,
Oct-54,,,,-0.00041444331813222934,,-0.0020660912384794505,-0.0011615039995187537,,-0.002399314656168161,0.0006211780425668945,
Nov-54,,,,0.0012477954378926626,,0.0005839058831889066,-0.001571289092365813,,-0.002346817992059491,-0.0039841784736304175,
Dec-54,,,,0.00031379074491022507,,-0.0002388087846435516,-0.001506950933898965,,-0.0005525363067082623,-0.0008655843351829118,
Jan-55,,,,-0.0006255641100196829,,-0.0035677255734984925,-0.00559417878955959,,-0.006596009099587907,-0.009980519622640904,
Feb-55,,,,-0.00047349961610632096,,-0.001999725410794184,-0.0008351102395030008,,-0.001293223996860715,-0.009824643629349539,
Mar-55,,,,0.001127044016462131,,-0.0021635539954134586,-0.00261862823614023,,-0.00038899308217343886,0.0008451802371591821,
Apr-55,,,,-0.00012368725240197165,,-0.001199019067323892,-0.0011487914614656258,,-0.003806253035457563,0.0008548974473461257,
May-55,,,,0.00010161645932105223,,0.00197500000000006,0.0016657693663049145,,0.0014292927657379995,-0.0006430137927748714,
Jun-55,,,,0.001492891879425029,,0.0014147596840095034,0.0007567253429212606,,0.0005769470193801585,0.0039020538203191624,
Jul-55,,,,0.0005975769528718811,,-0.0013630411833495115,-0.0037866771892229867,,-0.007960936418248354,-0.009611830650567477,
Aug-55,,,,-0.0014719441146952006,,-0.003758536142312141,-0.0041122419313374126,,-0.0035580790728187983,-0.007979101405946376,
Sep-55,,,,0.002065157085197944,,0.003102828059401652,0.002839088804083456,,0.002475000000000005,0.003999560192013529,
Oct-55,,,,0.0016962521126344665,,0.004194989344585398,0.00648646835995681,,0.010190765076768082,0.01300534221782046,
Nov-55,,,,0.001180932932532519,,-0.0008805478229998442,1.8837505928903653e-05,,0.001543113070006319,0.0024416666666666753,
Dec-55,,,,-0.0001814452765175334,,-0.0018925931336039037,-0.0031159767054621534,,-0.0035693380669810093,-0.00502804648181554,
Jan-56,,,,0.00362527970975135,,0.005183026510830802,0.0065445385970139824,,0.007605468209124,0.008480915325283833,
Feb-56,,,,0.0029606771111931884,,0.0053836145344234865,0.006937357342309491,,0.007570614969271139,0.00696051168754952,
Mar-56,,,,0.0009950024101041954,,-0.0038864525234366676,-0.006357935339204035,,-0.007880770019586536,-0.009515670862929038,
Apr-56,,,,-0.0006089689909598572,,-0.005884008960393983,-0.009751874083827161,,-0.016119490596426367,-0.019594535592108886,
May-56,,,,0.0022537474557851045,,0.0057044189213413254,0.008102987731377409,,0.011993088046192923,0.014481642164310582,
Jun-56,,,,0.004248364121582693,,0.0061743755837702086,0.007564283282317064,,0.008524314370773833,0.011497361152081886,
Jul-56,,,,0.0021035220030298785,,-0.000588764858362234,-0.004313319796235393,,-0.006824858309332216,-0.00934347484145559,
Aug-56,,,,-0.0007495603551097574,,-0.006541368568185324,-0.010425451258760154,,-0.015859333279953813,-0.017898755969803504,
Sep-56,,,,0.00034490524252306365,,-0.0001999399200227625,0.0001509396080603409,,-0.0014082410697793257,-0.006040304652090378,
Oct-56,,,,0.0034187316097862297,,0.005671170367473,0.006036557680742849,,0.0061697647804974665,0.005646449866743675,
Nov-56,,,,0.0013016350102310614,,-0.0018361611538830758,-0.0043252113357108435,,-0.009699653650416362,-0.013147968823396528,
Dec-56,,,,0.0007226943960356724,,-0.0022274811031460784,-0.003274391838094304,,-0.005373506086899127,-0.008647293184617766,
